T(K),V(uV),I(uA)
3.9989589999999997,-1469.725486,-0.4
3.998901,-1414.787517,-0.375
3.9986900000000003,-1358.152586,-0.35
3.998868,-1299.966115,-0.325
3.999708,-1238.81126,-0.3
4.000001,-1175.476432,-0.275
3.9997,-1109.479158,-0.25
3.999476,-1039.8225400000001,-0.225
3.9988910000000004,-966.292245,-0.2
3.998182,-887.793744,-0.175
3.997793,-803.226606,-0.15
3.99782,-709.295491,-0.125
3.998218,-604.153674,-0.1
3.998786,-482.463262,-0.075
3.999261,-336.717986,-0.05
3.999802,-174.053827,-0.025
4.0001940000000005,2.0612220000000003,-0.0
3.999856,177.742293,0.025
3.999574,340.177318,0.05
3.9993559999999997,485.65512199999995,0.075
3.998983,606.958572,0.1
3.998795,712.8065,0.125
3.9989470000000003,805.407468,0.15
3.998822,890.0144439999999,0.175
3.998793,968.392466,0.2
3.998583,1041.6635039999999,0.225
3.9986660000000005,1111.398399,0.25
3.998848,1177.46595,0.275
3.999414,1240.362372,0.3
3.999429,1300.879284,0.325
3.999247,1359.2403630000001,0.35
3.9991510000000003,1415.805882,0.375
3.998994,1468.99303,0.4
3.998511,1521.719891,0.425
3.9986,1573.8529449999999,0.45
3.99888,1624.405478,0.475
3.998792,1673.7830529999999,0.5
3.9986339999999996,1770.2243050000002,0.55
3.998815,1862.826288,0.6
3.9988870000000003,1953.036095,0.65
3.9993769999999995,2041.138131,0.7
3.999722,2128.001094,0.75
3.999733,2213.912891,0.8
3.999598,2299.311445,0.85
3.9994050000000003,2384.651785,0.9
3.998689,2470.143418,0.95
3.998269,2556.1056350000003,1.0
3.998497,2642.462018,1.05
3.998333,2729.7401649999997,1.1
3.998508,2817.784967,1.15
3.9988230000000002,2906.494289,1.2
3.99925,2996.166345,1.25
3.999313,3086.601965,1.3
3.9996300000000002,3177.885477,1.35
3.99935,3269.9776190000002,1.4
3.998986,3362.693917,1.45
3.9985269999999997,3456.2097310000004,1.5
3.998441,3644.878561,1.6
3.9985730000000004,3835.603104,1.7
3.998957,4028.100557,1.8
3.999015,4222.081873,1.9
3.9987589999999997,4417.524414,2.0
3.9984660000000005,4614.0062450000005,2.1
3.998192,4813.064224000001,2.2
3.998282,5011.456762,2.3
3.998671,5212.469176,2.4
3.999431,5413.293635,2.5
4.000249,5617.143413000001,2.6
3.999822,5820.931285000001,2.7
3.999586,6027.99553,2.8
3.998985,6234.858311999999,2.9
3.99836,6444.986509,3.0
3.998249,6654.8244159999995,3.1
3.9987980000000003,6867.428723999999,3.2
3.9989800000000004,7081.137804000001,3.3
3.999071,7294.182854000001,3.4
3.999427,7509.456706,3.5
3.9991519999999996,7723.696167,3.6
3.999117,7939.980898000001,3.7
3.9990129999999997,8155.144829999999,3.8
3.999027,8372.023205,3.9
3.9988910000000004,8587.442090999999,4.0
3.999225,8804.952159,4.1
3.9993019999999997,9021.154024,4.2
3.999332,9239.532835,4.3
3.999207,9457.316837999999,4.4
3.999192,9677.935056,4.5
3.998815,9897.631937999999,4.6
3.9984830000000002,10119.567318000001,4.7
3.998535,10340.848909,4.8
3.998732,10564.5108,4.9
3.9990069999999998,10787.372673,5.0
3.9989879999999998,11012.2033,5.1
3.9986980000000005,11237.492127,5.2
3.998061,11461.305018000001,5.3
3.9981739999999997,11686.456445,5.4
3.998514,11909.680664,5.5
3.998525,12134.269591,5.6
3.9988870000000003,12357.124364,5.7
3.9992669999999997,12581.215509,5.8
3.999053,12803.673709,5.9
3.998447,13027.4909,6.0
3.9982050000000005,13249.397173000001,6.1
3.99802,13472.509536000001,6.2
3.998136,13693.820744999999,6.3
3.998111,13916.433063999999,6.4
3.998072,14137.093418,6.5
3.9984879999999996,14358.884436000002,6.6
3.998535,14578.749536000001,6.7
3.9985690000000003,14799.978,6.8
3.9985839999999997,15020.395436,6.9
3.998571,15238.855372999999,7.0
3.9980019999999996,15458.4023,7.1
3.9970550000000005,15676.062891,7.2
3.996287,15894.796609,7.3
3.996065,16111.607091,7.4
3.9962660000000003,16330.063772999998,7.5
3.9968879999999998,16546.332918,7.6
3.997963,16763.815755,7.7
3.9988589999999995,16979.565327,7.8
3.99937,17196.397881999997,7.9
3.999508,17411.583527000003,8.0
