T(K),V(uV),I(uA)
4.000021,-17554.993072999998,-8.1
4.000281,-17341.881209,-8.0
4.0000029999999995,-17127.018027000002,-7.9
3.9996400000000003,-16913.517355,-7.8
3.998983,-16698.035764,-7.7
3.998995,-16483.891436,-7.6
3.998883,-16267.796955000002,-7.5
3.9994980000000004,-16052.6366,-7.4
3.999461,-15835.933855000001,-7.3
3.9994940000000003,-15620.561536000001,-7.2
3.9992980000000005,-15403.118727000001,-7.1
3.9993800000000004,-15186.933036000002,-7.0
3.99879,-14968.342109000001,-6.9
3.998844,-14751.094673,-6.8
3.999171,-14531.878536000002,-6.7
3.999223,-14313.471655000001,-6.6
3.999489,-14093.419672999999,-6.5
3.999653,-13874.360791,-6.4
3.999545,-13653.416272999999,-6.3
3.9992919999999996,-13433.7242,-6.2
3.999435,-13212.234655,-6.1
3.99914,-12991.879882,-6.0
3.998989,-12769.7329,-5.9
3.999072,-12549.010155,-5.8
3.9995489999999996,-12326.395764,-5.7
3.9997800000000003,-12105.014773,-5.6
3.999913,-11882.322309000001,-5.5
3.999737,-11660.488555,-5.4
3.999562,-11436.910418000001,-5.3
3.998821,-11214.463664,-5.2
3.998554,-10990.681455,-5.1
3.998625,-10768.900173,-5.0
3.998669,-10545.683291,-4.9
3.9986410000000006,-10323.223782,-4.8
3.9988690000000005,-10103.074864,-4.7
3.998814,-9882.299305,-4.6
3.9989489999999996,-9663.89013,-4.5
3.9990639999999997,-9444.29859,-4.4
3.999174,-9227.507629000002,-4.3
3.9994389999999997,-9009.957273,-4.2
3.999921,-8794.581699,-4.1
3.999506,-8578.10979,-4.0
3.999372,-8363.51233,-3.9
3.999684,-8147.446454999999,-3.8
3.9993220000000003,-7932.966589,-3.7
3.99897,-7717.2998769999995,-3.6
3.9993199999999995,-7503.745644,-3.5
3.999589,-7288.947095,-3.4
3.9996970000000003,-7076.531725,-3.3
3.999864,-6863.357034999999,-3.2
3.9997300000000005,-6649.522906,-3.1
3.999282,-6441.731713,-3.0
3.99906,-6233.615148,-2.9
3.998711,-6025.425467,-2.8
3.9986629999999996,-5820.240054999999,-2.7
3.9988379999999997,-5615.1428049999995,-2.6
3.9995519999999996,-5413.144774,-2.5
3.9997800000000003,-5211.054159,-2.4
3.999659,-5011.746299,-2.3
3.999515,-4812.098849,-2.2
3.9996989999999997,-4615.106796,-2.1
3.999338,-4418.735605,-2.0
3.9992980000000005,-4223.479251,-1.9
3.999435,-4029.5262380000004,-1.8
3.999424,-3836.922393,-1.7
3.9988550000000003,-3646.189903,-1.6
3.998558,-3457.5228039999997,-1.5
3.9980589999999996,-3364.180782,-1.45
3.998241,-3271.288858,-1.4
3.9988449999999998,-3179.326055,-1.35
3.9991120000000002,-3088.007553,-1.3
3.9989809999999997,-2997.440971,-1.25
3.9996120000000004,-2907.6582329999997,-1.2
3.999739,-2818.784556,-1.15
3.9993819999999998,-2730.773088,-1.1
3.9995629999999998,-2643.614772,-1.05
3.9997339999999997,-2556.951175,-1.0
3.9995540000000003,-2471.126264,-0.95
3.9990419999999998,-2385.629417,-0.9
3.9990370000000004,-2300.406811,-0.85
3.999268,-2214.924401,-0.8
3.999565,-2128.991836,-0.75
3.999357,-2042.3330050000002,-0.7
3.999371,-1954.198705,-0.65
3.999364,-1864.029723,-0.6
3.998701,-1771.5159859999999,-0.55
3.998683,-1675.539928,-0.5
3.9988919999999997,-1626.09387,-0.475
3.99916,-1575.246247,-0.45
3.998651,-1523.590944,-0.425
