T(K),V(uV),I(uA)
7.130166,-11055.5264,-5.1
7.130121000000001,-10839.267545,-5.0
7.129967,-10621.3381,-4.9
7.129801,-10403.528482,-4.8
7.1297619999999995,-10187.172155,-4.7
7.129567,-9969.446189,-4.6
7.129560000000001,-9753.263669,-4.5
7.1298710000000005,-9535.337268000001,-4.4
7.12995,-9319.456778,-4.3
7.1299399999999995,-9102.161889,-4.2
7.130071000000001,-8886.517216,-4.1
7.130367,-8669.582107,-4.0
7.1307339999999995,-8454.45875,-3.9
7.130857000000001,-8237.852483,-3.8
7.130603999999999,-8022.716198,-3.7
7.130544,-7806.319425,-3.6
7.130344999999999,-7591.603319,-3.5
7.129885000000001,-7375.308701000001,-3.4
7.129778,-7160.790744,-3.3
7.129948,-6944.821245,-3.2
7.130167999999999,-6730.432647,-3.1
7.130000999999999,-6514.565757,-3.0
7.130128999999999,-6300.466244,-2.9
7.1301559999999995,-6085.117771,-2.8
7.1300419999999995,-5871.764086,-2.7
7.129903,-5657.039617,-2.6
7.129949000000001,-5444.3543899999995,-2.5
7.129739999999999,-5230.52369,-2.4
7.1296669999999995,-5018.612477000001,-2.3
7.129875,-4805.379491,-2.2
7.129948,-4593.897336,-2.1
7.130093,-4382.285855,-2.0
7.1301570000000005,-4170.955818,-1.9
7.130066,-3959.9425420000002,-1.8
7.130210000000001,-3749.020174,-1.7
7.130387,-3538.4222520000003,-1.6
7.130275999999999,-3328.1640780000002,-1.5
7.130597,-3223.149185,-1.45
7.130935000000001,-3117.802488,-1.4
7.130586999999999,-3012.821529,-1.35
7.129886,-2907.940533,-1.3
7.129778,-2802.835311,-1.25
7.129630000000001,-2697.7967519999997,-1.2
7.129349,-2593.190188,-1.15
7.129446000000001,-2488.344683,-1.1
7.129910000000001,-2383.230365,-1.05
7.129931,-2277.817105,-1.0
7.129884,-2172.603075,-0.95
7.130236,-2066.7636239999997,-0.9
7.130635000000001,-1960.7107879999999,-0.85
7.13063,-1854.574913,-0.8
7.1309949999999995,-1747.34833,-0.75
7.130889,-1639.275924,-0.7
7.1303149999999995,-1530.576936,-0.65
7.129653,-1421.330329,-0.6
7.129823,-1310.4782539999999,-0.55
7.1298960000000005,-1198.6619150000001,-0.5
7.130153999999999,-1085.400731,-0.45
7.130242999999999,-970.1586890000001,-0.4
7.130180999999999,-852.878366,-0.35
7.129835000000001,-734.82489,-0.3
7.129849,-615.096591,-0.25
7.12973,-494.487863,-0.2
7.129646000000001,-372.01912799999997,-0.15
7.129886,-248.418371,-0.1
7.1299529999999995,-124.34999499999999,-0.05
7.129703999999999,-0.032025,-0.0
7.129767,124.520077,0.05
7.130219,248.532871,0.1
7.130408,371.985499,0.15
7.130585000000001,494.42006200000003,0.2
7.13057,615.271382,0.25
7.130094000000001,735.01861,0.3
7.129712,853.176814,0.35
7.129713000000001,969.6382150000001,0.4
7.129709,1084.6889390000001,0.45
7.129519,1198.667265,0.5
7.129706,1310.445491,0.55
7.129703,1420.8619720000002,0.6
7.129619,1530.274617,0.65
7.129375,1639.254624,0.7
7.1296740000000005,1746.99734,0.75
7.129860000000001,1854.2103690000001,0.8
7.1300419999999995,1960.5166420000003,0.85
7.130603,2066.634516,0.9
7.130766,2172.01118,0.95
7.130698,2277.634765,1.0
7.130843,2382.799129,1.05
7.130978,2487.6153679999998,1.1
7.130347,2593.006073,1.15
7.130149,2697.945462,1.2
7.1303279999999996,2802.852908,1.25
7.130551,2907.843123,1.3
7.130525,3013.0981070000003,1.35
7.1307160000000005,3118.188916,1.4
7.1307149999999995,3223.063102,1.45
7.130392,3328.165355,1.5
7.129986,3538.756628,1.6
7.12984,3749.491417,1.7
7.130081,3960.399006,1.8
7.130189,4171.578562,1.9
7.130071000000001,4383.229886,2.0
7.129789,4594.955958,2.1
7.1294949999999995,4808.429146,2.2
7.129486999999999,5020.44939,2.3
7.1292,5234.297516,2.4
7.129533,5446.961446,2.5
7.129776,5661.642564,2.6
7.129962,5875.087195,2.7
7.129867,6090.563284000001,2.8
7.130198,6304.744976,2.9
7.130167,6520.897725,3.0
7.130397,6735.6577480000005,3.1
7.130438000000001,6952.213025,3.2
7.1303220000000005,7168.880523000001,3.3
7.130321,7384.022987,3.4
7.130314,7600.964755,3.5
7.13011,7816.326275,3.6
7.130134,8033.514520000001,3.7
7.13023,8249.458848,3.8
7.130331,8466.815858,3.9
7.130339,8682.788187,4.0
7.130238,8900.706006,4.1
7.129916000000001,9117.111547,4.2
7.129683999999999,9335.359359,4.3
7.129728999999999,9552.234293000001,4.4
7.129683999999999,9771.154436,4.5
7.129506,9988.245984000001,4.6
7.13045,10207.037773,4.7
7.1309320000000005,10424.644518000001,4.8
7.13081,10643.601827,4.9
7.130771000000001,10861.130309,5.0
